windows_min_Dark and Light,windows_min_Dark and Light,windows_req_Dark and Light,windows_req_Dark and Light
directx,9.0c,directx,9.0c
диск,10 gb hdd space,диск,10 gb hdd space
звукова€ карта,directx 9.0c compatible,звукова€ карта,directx 9.0c compatible
hardware,mouse & keyboard,hardware,mouse & keyboard
,,,
windows_min_Saints Row 2,windows_min_Saints Row 2,windows_req_Saints Row 2,windows_req_Saints Row 2
операционна€ система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster",операционна€ система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster"
процессор,intel core i5-4570t (2.9 ghz) or amd fx-4300 (3.8 ghz),процессор,intel core i5-4670k (3.4 ghz) or amd fx-8370 (4.0 ghz)
оперативна€ пам€ть,4096 mb,оперативна€ пам€ть,8192 mb
видео карта,"128mb 3d graphics card with shader model 3.0 support (i.e. 7600 nvidia card, ati x1300 card )",видео карта,"256mb 3d graphics card with shader model 3.0 support (i.e. 8800 nvidia card, ati hd3850 card )"
directx,directx 9.0c,directx,directx 9.0c
звукова€ карта,directx 9.0c compatible 16-bit sound card,звукова€ карта,directx 9.0c compatible 16-bit sound card
диск,around 7 gb,диск,around 7 gb
монитор,directx compatible display capable of 640x480 in 16-bit color,монитор,directx compatible display capable of 640x480 in 16-bit color
gpu,geforce gtx 460 (1024 mb) or radeon hd 6850 (1024 mb),gpu,geforce gtx 760 (2048 mb) or radeon r9 285 (2048 mb)
recommended graphics drivers,"nvidia: 352, 355 or 358 series driver / amd: amd catalyst (fglrx) 15.9 . mesa drivers and intel graphics are not currently supported.",recommended graphics drivers,"nvidia: 352, 355 or 358 series driver / amd: amd catalyst (fglrx) 15.9 . mesa drivers and intel graphics are not currently supported."
,,,
windows_min_Book of Demons,windows_min_Book of Demons
операционна€ система,osx 10.12+
процессор,1.7 ghz dual core
оперативна€ пам€ть,2 gb
видео карта,open gl 3.3+ compliant
directx,version 9.0c
диск,1 gb
звукова€ карта,directx 9.0c compatible
,
windows_min_Injustice: Gods Among Us Ultimate Edition,windows_min_Injustice: Gods Among Us Ultimate Edition,windows_req_Injustice: Gods Among Us Ultimate Edition,windows_req_Injustice: Gods Among Us Ultimate Edition
операционна€ система,32-bit windows 7 / windows 8 / vista,операционна€ система,windows 7 / windows 8 / vista
процессор,intel coreЩ 2 duo 2.4 ghz or amd athlon x2 2.8 ghz,процессор,"intel core i5-750, 2.67 ghz or amd phenom ii x4 965, 3.4 ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforceЩ 8800 gts or amd radeonЩ hd 3850,видео карта,nvidia geforceЩ gtx 560 or amd radeonЩ hd 6950
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,21 gb,диск,22 gb
,,,
windows_min_Guns of Icarus Online,windows_min_Guns of Icarus Online,macos_min_Guns of Icarus Online,macos_min_Guns of Icarus Online,linux_min_Guns of Icarus Online,linux_min_Guns of Icarus Online
операционна€ система,windows 7,операционна€ система,mac os x 10.6,операционна€ система,"ubuntu 12.04 lts, 32-bit (linux machine configuration not supported)"
процессор,2 ghz,процессор,2 ghz,процессор,dual-core 2 ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,2 gb
видео карта,"intel hd3000, nvidia geforce gt8600",видео карта,"intel hd3000, nvidia geforce gt8600",видео карта,"intel hd3000, nvidia geforce gt8600, supporting shader model 3 equivalent"
directx,dx90c,диск,3 gb hd space,диск,3 gb hd space
диск,3 gb hd space,other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,,,
windows_min_Brutal Legend,windows_min_Brutal Legend,windows_req_Brutal Legend,windows_req_Brutal Legend,macos_min_Brutal Legend,macos_min_Brutal Legend,macos_req_Brutal Legend,macos_req_Brutal Legend,linux_min_Brutal Legend,linux_min_Brutal Legend,linux_req_Brutal Legend,linux_req_Brutal Legend
операционна€ система,windows xp sp3,операционна€ система,windows 7,операционна€ система,"snow leopard 10.6.8,",операционна€ система,"snow leopard 10.6.8,",операционна€ система,"ubuntu 12.04 lts, fully updated",операционна€ система,Ч
процессор,"intel core 2 duo at 2.2 ghz, or amd athlon 64 at 2.2 ghz",процессор,"intel i5 duo at 2.5 ghz, or amd fx 3.5 ghz",процессор,intel core duo,процессор,intel core i5 at 2.5 ghz,процессор,2.2 ghz dual core cpu,процессор,Ч
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,2 gb of,оперативна€ пам€ть,4 gb of,оперативна€ пам€ть,2 gb of,оперативна€ пам€ть,Ч
