видео карта,graphics card with 1gb vram or more and compatibility with direct x 11.0 or higher,видео карта,nvidia geforce gtx 960ati mobility radeon r9 290
directx,version 11,directx,version 11
диск,9 gb,диск,9 gb
,,,
windows_min_Madness Cubed,windows_min_Madness Cubed,windows_req_Madness Cubed,windows_req_Madness Cubed
операционная система,"windows 8.1 (), windows 7 (32 & ), windows vista (32 & )",операционная система,"windows 8.1 (), windows 7 (32 & ), windows vista (32 & )"
процессор,amd athlon 64 3200+ / intel pentium 4 3200+,процессор,amd athlon ii x2 255 / intel pentium e5500
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia geforce 6100 or compatible,видео карта,ati radeon hd 3850 / nvidia geforce 6800 gt
directx,version 9.0,directx,version 9.0
диск,200 mb,диск,200 mb
звуковая карта,onboard sound,звуковая карта,onboard sound
,,,
windows_min_Jet Lancer,windows_min_Jet Lancer,windows_req_Jet Lancer,windows_req_Jet Lancer
операционная система,"windows 7, 8.1, 10 x64",операционная система,"windows 7, 8.1, 10"
процессор,intel core2 duo e7300 (2 * 2660) or amd athlon ii x2 270 (2 * 3400),процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,geforce gt 640 (2048 mb),видео карта,—
,,,
windows_min_GIBZ,windows_min_GIBZ
процессор,2.4 ghz
оперативная память,2 gb
,
windows_min_Star Valor,windows_min_Star Valor,windows_req_Star Valor,windows_req_Star Valor
операционная система,windows 7,операционная система,windows 7
процессор,2.0 ghz,процессор,2.0 ghz dual core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd 4000,видео карта,any gpu with 256mb memory
directx,version 9.0,directx,version 9.0
диск,1 gb,диск,2 gb
,,,
windows_min_ - Red Obsidian Remnant,windows_min_ - Red Obsidian Remnant,windows_req_ - Red Obsidian Remnant,windows_req_ - Red Obsidian Remnant
операционная система,windows xp/7/8/10,операционная система,windows xp/7/8/10
процессор,2ghz,процессор,2.8ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 8800,видео карта,geforce gtx650
directx,version 11,directx,version 11
диск,300 mb,диск,500 mb
,,,
windows_min_Bitardia,windows_min_Bitardia
операционная система,mac os x 10.8+
процессор,intel core i3
оперативная память,4 gb
видео карта,nvidia geforce 450 or higher with 1gb memory
directx,version 9.0
,
windows_min_Odallus: The Dark Call,windows_min_Odallus: The Dark Call
операционная система,windows vista
процессор,intel core 2 duo 2.1ghz
оперативная память,2 gb
видео карта,256mb vram dedicated graphics card
directx,version 9.0
,
windows_min_Onset,windows_min_Onset,windows_req_Onset,windows_req_Onset
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-2300,процессор,intel core i5-6400
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660 2gb,видео карта,geforce gtx 960 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,25 gb
,,,
windows_min_Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,windows_min_Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,windows_req_Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,windows_req_Touhou Kanjuden ~ Legacy of Lunatic Kingdom.
операционная система,windows 7/8/10,операционная система,—
процессор,core 2 duo or faster,процессор,—
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,shader model 2.0 compatible,видео карта,—
directx,version 9.0c,directx,—
диск,600 mb,диск,—
звуковая карта,directsound compatible,звуковая карта,—
,,,
