windows_min_Groove Coaster,windows_min_Groove Coaster,windows_req_Groove Coaster,windows_req_Groove Coaster
видео карта,"ati radeon 3870 or higher, nvidia geforce 8800 gt or higher",видео карта,—
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Tiny Troopers,windows_min_Tiny Troopers
операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, ."
процессор,intel mac
оперативная память,1 gb
видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia)
directx,9.0c
диск,500 mb hd space
,
windows_min_Saiko no sutoka,windows_min_Saiko no sutoka,windows_req_Saiko no sutoka,windows_req_Saiko no sutoka
операционная система,windows vista,операционная система,"windows 7 or higher, windows 8, windows 10"
процессор,"intel i3 2nd-generation 2.5ghz, amd quad-core 2.5ghz",процессор,"intel i3 4th-generation 3.5ghz, amd quad-core 3.9ghz"
оперативная память,4 gb,оперативная память,6 gb
видео карта,"nvidia gt640, amd radeon hd7750, 1gb vram",видео карта,"nvidia gtx 570, amd radeon hd 6950, 2gb vram"
directx,version 9.0,directx,version 11
диск,700 mb,диск,700 mb
,,,
windows_min_Tomb Raider VI: The Angel of Darkness,windows_min_Tomb Raider VI: The Angel of Darkness
операционная система,windows xp/ windows vista / windows 7
процессор,1.8ghz
оперативная память,512 mb
видео карта,3d graphics card compatible with directx 9.0c
directx,9.0c
,
windows_min_Bloodstained: Curse of the Moon 2,windows_min_Bloodstained: Curse of the Moon 2
операционная система,"windows 7, 8.1, 10"
процессор,2ghz or faster
оперативная память,2 gb
видео карта,512mb vram (nvidia geforce)
directx,version 9.0c
,
windows_min_Wings of Vi,windows_min_Wings of Vi,windows_req_Wings of Vi,windows_req_Wings of Vi
операционная система,windows xp,операционная система,windows 7
процессор,pentium 4 or higher,процессор,—
оперативная память,256 mb,оперативная память,1 gb
видео карта,256 mb or higher,видео карта,—
directx,version 9.0,directx,version 10
диск,80 mb,диск,—
,,,
windows_min_COMPOUND,windows_min_COMPOUND
операционная система,windows 7 sp1
процессор,intel i5-4590
оперативная память,4 gb
видео карта,gtx 980
,
windows_min_The Deadly Tower of Monsters,windows_min_The Deadly Tower of Monsters,windows_req_The Deadly Tower of Monsters,windows_req_The Deadly Tower of Monsters
операционная система,"windows xp, vista, 7, 8, 10",операционная система,"windows xp, vista, 7, 8, 10"
