windows_min_GOLD EXPRESS,windows_min_GOLD EXPRESS,windows_req_GOLD EXPRESS,windows_req_GOLD EXPRESS
операционная система,mac 10.9+
процессор,1.8ghz
оперативная память,1 gb
видео карта,3d graphics card compatible with 256 mb vram
диск,406 mb
,
windows_min_Diehard Dungeon,windows_min_Diehard Dungeon
операционная система,"xp, vista, win 7, win 8"
процессор,dual core 2.0 ghz
оперативная память,256 mb
видео карта,128mb video and at least shader model 2.0
directx,version 9.0c
,
windows_min_Disney•Pixar Toy Story 3: The Video Game,windows_min_Disney•Pixar Toy Story 3: The Video Game
операционная система,microsoft windows vista sp2/ xp sp3/ windows 7 home premium
процессор,"intel pentium 4 2.4 ghz, amd 3000+ , or intel core 2 1.8 ghz"
оперативная память,1 gb
видео карта,"128 mb directx 9.0c-compatible, 3d video card supporting shaders 2.0 (nvidia geforce • fx 5600, ati radeon 9600 )"
,
windows_min_Dwerve,windows_min_Dwerve,windows_req_Dwerve,windows_req_Dwerve,macos_min_Dwerve,macos_min_Dwerve,macos_req_Dwerve,macos_req_Dwerve,linux_min_Dwerve,linux_min_Dwerve,linux_req_Dwerve,linux_req_Dwerve
операционная система,windows 7 and above,операционная система,windows 7 and above,операционная система,mac osx 10.7 and above,операционная система,mac osx 10.7 and above,операционная система,ubuntu 12.04 and above,операционная система,ubuntu 12.04 and above
процессор,1.2 ghz,процессор,2 ghz,процессор,1.2 ghz,процессор,2 ghz,процессор,1.2 ghz,процессор,2 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,1 gb,видео карта,2 gb,видео карта,1 gb,видео карта,2 gb,видео карта,1 gb,видео карта,2 gb
,,,,,,,,,,,
