windows_min_PixelJunk™ Shooter,windows_min_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter
диск,2 gb,диск,2 gb
,,,
windows_min_NEKO-NIN exHeart +PLUS Nachi,windows_min_NEKO-NIN exHeart +PLUS Nachi,windows_req_NEKO-NIN exHeart +PLUS Nachi,windows_req_NEKO-NIN exHeart +PLUS Nachi
операционная система,windows 7 or above,операционная система,windows 7 or above
процессор,1.7 ghz pentium 4,процессор,core 2 duo or above
оперативная память,1 gb,оперативная память,2 gb
видео карта,1280 x 720,видео карта,1280 x 720
,,,
windows_min_Airtone,windows_min_Airtone
операционная система,7/8/10
процессор,intel i5-4590
оперативная память,8 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290
,
windows_min_Ghostwire: Tokyo,windows_min_Ghostwire: Tokyo,windows_req_Ghostwire: Tokyo,windows_req_Ghostwire: Tokyo
операционная система,windows 10 version 1909 or higher,операционная система,windows 10 version 1909 or higher
процессор,core i7 4770k @ 3.5ghz or amd ryzen 5 2600,процессор,core i7 6700 @ 3.4ghz or amd ryzen 5 2600
оперативная память,12 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060 or amd rx 5500 xt (vram 6 gb or higher),видео карта,nvidia gtx 1080 or amd rx 5600 xt (vram 6 gb or higher)
directx,version 12,directx,version 12
диск,20 gb,диск,20 gb
,,,
windows_min_Masters of Anima,windows_min_Masters of Anima,windows_req_Masters of Anima,windows_req_Masters of Anima
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,intel core i3-2125 (3.3 ghz)/amd fx-4100 (3.6 ghz),процессор,intel core i7-3820 (3.6 ghz)/amd fx-8350 (4.0 ghz)
оперативная память,4 gb,оперативная память,8 gb
видео карта,"1 gb, geforce gtx 560 / radeon hd 7790",видео карта,"2 gb, geforce gtx 760 / radeon r7 370"
диск,2 gb,диск,2 gb
,,,
windows_min_Retro/Grade,windows_min_Retro/Grade
операционная система,"windows xp sp2, vista, windows 7, or windows 8"
процессор,2.0+ ghz (dual core recommended)
оперативная память,2 gb
видео карта,nvidia 8000 series
directx,9.0c
диск,300 mb hd space
,
windows_min_Spiral Knights,windows_min_Spiral Knights
операционная система,os x version snow leopard 10.6.3 .
процессор,1.3ghz
оперативная память,1gb
видео карта,"64mb video memory. geforce 5 series, ati 8500. latest video driver."
монитор,1024x600
directx,—
диск,700mb
,
windows_min_EVERSPACE™ - Encounters,windows_min_EVERSPACE™ - Encounters,windows_req_EVERSPACE™ - Encounters,windows_req_EVERSPACE™ - Encounters,macos_min_EVERSPACE™ - Encounters,macos_min_EVERSPACE™ - Encounters,macos_req_EVERSPACE™ - Encounters,macos_req_EVERSPACE™ - Encounters,linux_min_EVERSPACE™ - Encounters,linux_min_EVERSPACE™ - Encounters,linux_req_EVERSPACE™ - Encounters,linux_req_EVERSPACE™ - Encounters
операционная система,32/ windows 7 / 8.1 / 10,операционная система,32/ windows 7 / 8.1 / 10,операционная система,el capitan,операционная система,el capitan,операционная система,ubuntu 16.04,операционная система,ubuntu 16.04
процессор,intel cpu core i3,процессор,intel cpu core i5,процессор,intel cpu core i3,процессор,intel cpu core i5,процессор,intel cpu core i3,процессор,intel cpu core i5
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 480 / amd radeon hd 5870,видео карта,nvidia geforce gtx 770 / amd radeon r9 280x,видео карта,nvidia gtx 480 / amd radeon hd 5870,видео карта,nvidia geforce gtx 770 / amd radeon r9 280x,видео карта,nvidia gtx 480 / amd radeon hd 5870,видео карта,nvidia geforce gtx 770 / amd radeon r9 280x
directx,version 10,directx,version 11,диск,700 mb,диск,700 mb,диск,700 mb,диск,700 mb
,,,,,,,,,,,
