windows_min_SWAT 3: Tactical Game of the Year Edition,windows_min_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition
процессор,i5 or equivelent,процессор,i7 quad core or equivelent,процессор,i5 or equivelent,процессор,i7 quad core or equivelent,процессор,i5 or equivelent,процессор,i7 quad core or equivelent
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,1 gb direct x 9,видео карта,2 gb direct x 11 nvidia 600 or ati 7000 and up,видео карта,1 gb card,видео карта,2 gb direct x 11 nvidia 600 or ati 7000 and up,видео карта,1 gb card,видео карта,2 gb opengl 4.2 nvidia 600 or ati 7000 and up
directx,version 9.0,directx,version 11,диск,3 gb,диск,3 gb,диск,3 gb,диск,3 gb
,,,,,,,,,,,
windows_min_Dungeons and Dragons: Daggerdale,windows_min_Dungeons and Dragons: Daggerdale,windows_req_Dungeons and Dragons: Daggerdale,windows_req_Dungeons and Dragons: Daggerdale
,,,
windows_min_Animal Fight Club,windows_min_Animal Fight Club,windows_req_Animal Fight Club,windows_req_Animal Fight Club,macos_min_Animal Fight Club,macos_min_Animal Fight Club,macos_req_Animal Fight Club,macos_req_Animal Fight Club,linux_min_Animal Fight Club,linux_min_Animal Fight Club,linux_req_Animal Fight Club,linux_req_Animal Fight Club
операционная система,windows 7,операционная система,windows 10,операционная система,mac osx,операционная система,mac osx,операционная система,linux,операционная система,linux 11
процессор,intel pentium,процессор,intel i3,процессор,intel pentium,процессор,intel i3,процессор,intel pentium,процессор,intel i3
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,intel hd 600,видео карта,nvidia gtx 750ti,видео карта,intel hd 600,видео карта,nvidia gtx 750ti,видео карта,intel hd 600,видео карта,nvidia gtx 750ti
directx,version 9.0,directx,version 11,диск,256 mb,диск,256 mb,диск,256 mb,диск,256 mb
,,,,,,,,,,,
windows_min_Air Conflicts: Pacific Carriers,windows_min_Air Conflicts: Pacific Carriers,windows_req_Air Conflicts: Pacific Carriers,windows_req_Air Conflicts: Pacific Carriers,macos_min_Air Conflicts: Pacific Carriers,macos_min_Air Conflicts: Pacific Carriers,macos_req_Air Conflicts: Pacific Carriers,macos_req_Air Conflicts: Pacific Carriers,linux_min_Air Conflicts: Pacific Carriers,linux_min_Air Conflicts: Pacific Carriers,linux_req_Air Conflicts: Pacific Carriers,linux_req_Air Conflicts: Pacific Carriers
операционная система,"windows xp, windows vista, windows 7",операционная система,"windows xp, windows vista, windows 7",операционная система,osx 10.7.5,операционная система,osx 10.8,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,intel/amd cpu (1.1ghz+),процессор,intel/amd cpu (1.8ghz+),процессор,intel/amd cpu (1.1ghz+),процессор,intel/amd cpu (2.0ghz+),процессор,intel/amd cpu (1.1ghz+),процессор,intel/amd cpu (2.0ghz+)
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
видео карта,shader 3.0 compatible graphics card with min. 256 mb,видео карта,geforce 9x graphics card with min. 512 mb,видео карта,"nvidia graphics card with min. 256 mb and opengl 3.2 support (nvidia 9800 and higher, or compatible). please note that the game currently only works on nvidia graphics cards.",видео карта,"nvidia graphics card with min. 256 mb and opengl 3.2 support (nvidia 9800 and higher, or compatible). please note that the game currently only works on nvidia graphics cards.",видео карта,"gaming shader 3.0 compatible graphics card with min. 256 mb and opengl 3.2 support (nvidia 9800 and higher, or compatible)",видео карта,"gaming shader 3.0 compatible graphics card with min. 512mb and opengl 3.2 support (nvidia 260gtx or higher, or compatible)"
directx,9.0c,directx,9.0c,opengl,3.2,opengl,3.2,opengl,3.2,opengl,3.2
,,,,,,,,,,,
windows_min_Flight of the Icarus,windows_min_Flight of the Icarus
операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, and up to 10.9 maverick. the game currently does not support 10.9 maverick."
процессор,2 ghz intel cpu
оперативная память,512mb
видео карта,dedicated video card w/ 128mb of video memory
directx,directx 9.0c
диск,100mb
,
windows_min_Chronicles of Teddy,windows_min_Chronicles of Teddy
операционная система,osx 10.7+
процессор,1.8 ghz intel core 2 duo
оперативная память,1 gb
видео карта,opengl 2.1 compatible gpu
,
windows_min_Redemption: Saints And Sinners,windows_min_Redemption: Saints And Sinners
операционная система,"windows vista, windows 7, windows 8, windows 8.1, windows 10"
процессор,intel core 2 quad q8200 2.33 ghz or athlon ii x3 455 3.30 ghz
оперативная память,3 gb
,
windows_min_I am Weapon: Revival,windows_min_I am Weapon: Revival
операционная система,"windows 7, 8 or 10"
процессор,2.6 ghz intel core™ i5-750 or 3.2 ghz amd phenom™ ii x4 955
оперативная память,4 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd5850
directx,version 9.0
диск,5 gb
,
windows_min_NEON STRUCT,windows_min_NEON STRUCT,windows_req_NEON STRUCT,windows_req_NEON STRUCT,macos_min_NEON STRUCT,macos_min_NEON STRUCT,macos_req_NEON STRUCT,macos_req_NEON STRUCT,linux_min_NEON STRUCT,linux_min_NEON STRUCT,linux_req_NEON STRUCT,linux_req_NEON STRUCT
операционная система,windows xp,операционная система,windows vista,операционная система,os x 10.6 snow leopard,операционная система,os x 10.7 lion,операционная система,ubuntu 12.04 lts,операционная система,ubuntu 12.04 lts
процессор,intel core 2 duo,процессор,intel core i5,процессор,intel core 2 duo,процессор,intel core i5,процессор,intel core 2 duo,процессор,intel core i5
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,directx 9.0-compliant device with 512mb memory,видео карта,"dedicated graphics card, geforce 9 / radeon hd 3000 series",диск,200 mb,диск,200 mb,видео карта,opengl 2.1-compliant device with 512mb memory,видео карта,"dedicated graphics card, geforce 9 / radeon hd 3000 series"
directx,version 9.0c,directx,version 9.0c,,,,,диск,200 mb,диск,200 mb
,,,,,,,,,,,
