windows_min_Sneak Thief,windows_min_Sneak Thief,windows_req_Sneak Thief,windows_req_Sneak Thief
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Half Minute Hero: Super Mega Neo Climax Ultimate Boy,windows_min_Half Minute Hero: Super Mega Neo Climax Ultimate Boy
операционная система,windows xp service pack 3
процессор,pentium 4 3.2 ghz
оперативная память,1gb
диск,2 gb (includes direct x files)
видео карта,geforce fx 5700 card with 256mb vram
directx,9.0c
звуковая карта,directx 9 compliant audio card
,
