операционная система,windows 8,операционная система,windows 10
процессор,intel i3-6100 / amd fx4350,процессор,intel i5-4590
оперативная память,8 gb,оперативная память,8 gb
,,,
windows_min_Marvel: Ultimate Alliance,windows_min_Marvel: Ultimate Alliance
операционная система,windows 7 sp2
процессор,intel / amd hyper-threaded dual core cpu
оперативная память,4 gb
видео карта,nvidia geforce gts 450 / amd radeon hd 5670
directx,version 11
сеть,широкополосное подключение
диск,8 gb
,
windows_min_Ding Dong XL,windows_min_Ding Dong XL,windows_req_Ding Dong XL,windows_req_Ding Dong XL,macos_min_Ding Dong XL,macos_min_Ding Dong XL,macos_req_Ding Dong XL,macos_req_Ding Dong XL,linux_min_Ding Dong XL,linux_min_Ding Dong XL,linux_req_Ding Dong XL,linux_req_Ding Dong XL
операционная система,windows 7,операционная система,windows 10,операционная система,osx 10.5+,операционная система,—,операционная система,most 32-bit and linux os variants,операционная система,—
процессор,dual core+,процессор,—,процессор,dual core,процессор,—,процессор,dual core,процессор,—
оперативная память,2 gb,оперативная память,42 gb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,512mb+,видео карта,—,видео карта,512mb,видео карта,—,видео карта,512mb,видео карта,—
диск,500 mb,диск,501 mb,диск,500 mb,диск,—,диск,500 mb,диск,—
дополнительно,"ding dong xl should technically run on a windows xp machine, that doesn't mean you should do it though. but if you do it and it works, awesome!",дополнительно,"you are all better than you think you are, you are just designed not to believe it when you hear it from yourself.",,,,,,,,
,,,,,,,,,,,
windows_min_War Room,windows_min_War Room,windows_req_War Room,windows_req_War Room
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-6500,процессор,intel i7-6700
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 4gb,видео карта,nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 11
,,,
windows_min_Elmarion: Dragon time,windows_min_Elmarion: Dragon time,windows_req_Elmarion: Dragon time,windows_req_Elmarion: Dragon time
операционная система,windows 7 sp1 / windows 8 / windows 10,операционная система,windows 7 sp1 / windows 10
процессор,x86 compatible 2.66 ghz,процессор,"x64-compatible, 4-core, 3.2 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gtx 650ti, ati radeon hd 7850",видео карта,"nvidia geforce gtx 1050 ti, ati radeon™ rx560"
directx,version 10,directx,version 11
,,,
windows_min_The Eternal Castle [REMASTERED],windows_min_The Eternal Castle [REMASTERED],macos_min_The Eternal Castle [REMASTERED],macos_min_The Eternal Castle [REMASTERED],linux_min_The Eternal Castle [REMASTERED],linux_min_The Eternal Castle [REMASTERED]
операционная система,windows xp/vista/7/8/8.1/10 x86/x64,операционная система,mac os x 10.9,операционная система,ubuntu 12.04 amd64 or similar
