windows_min_Blasphemous,windows_min_Blasphemous,windows_req_Blasphemous,windows_req_Blasphemous,macos_min_Blasphemous,macos_min_Blasphemous,macos_req_Blasphemous,macos_req_Blasphemous,linux_min_Blasphemous,linux_min_Blasphemous,linux_req_Blasphemous,linux_req_Blasphemous
операционная система,windows 7,операционная система,windows 10,операционная система,macos sierra - 10.12.6,операционная система,—,операционная система,ubuntu 16.04.01,операционная система,—
процессор,intel core2 duo e8400 or amd phenom ii x2 550,процессор,intel core i5-750 or amd phenom ii x4 945,процессор,2.7 ghz intel core i5,процессор,—,процессор,intel core2 duo e8400 or amd phenom ii x2 550,процессор,—
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,geforce gtx 260 or radeon hd 4850,видео карта,geforce gtx 650 or radeon hd 5770,видео карта,nvidia geforce gt 640m,видео карта,—,видео карта,geforce gtx 260 or radeon hd 4850,видео карта,—
диск,4 gb,диск,4 gb,диск,4 gb,диск,—,диск,4 gb,диск,—
,,,,,,,,,,,
windows_min_Call of Duty® 4: Modern Warfare®,windows_min_Call of Duty® 4: Modern Warfare®
операционная система,10.12 (sierra)
directx,microsoft directx 9.0c (included)
процессор,2.2 ghz
оперативная память,1 gb
видео карта,nvidia geforce 7300 or ati radeon x1600
звуковая карта,100% directx 9.0c compatible sound card
диск,8 gb + 1 gb swap file
интернет,broadband connection and service required for multiplayer connectivity
video memory,128 mb vram
,
windows_min_DUSK,windows_min_DUSK,windows_req_DUSK,windows_req_DUSK,macos_min_DUSK,macos_min_DUSK,macos_req_DUSK,macos_req_DUSK,linux_min_DUSK,linux_min_DUSK,linux_req_DUSK,linux_req_DUSK
операционная система,windows 7,операционная система,windows 10,операционная система,macos 10.11 el capitan,операционная система,macos 10.14.3 mojave,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
