windows_min_Chopper To Hell,windows_min_Chopper To Hell,windows_req_Chopper To Hell,windows_req_Chopper To Hell
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 11 compatible,видео карта,geforce gtx 660 or radeon r7 200 series - directx 11 compatible
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
"windows_min_Resident Evil 2 ""R.P.D. Demo""","windows_min_Resident Evil 2 ""R.P.D. Demo""","windows_req_Resident Evil 2 ""R.P.D. Demo""","windows_req_Resident Evil 2 ""R.P.D. Demo"""
операционная система,"windows 7, 8.1, 10",операционная система,"windows 7, 8.1, 10"
процессор,intel core™ i5-4460 or amd fx™-6300,процессор,intel core™ i7-3770 or amd fx™-9590
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeon™ rx 480 with 3gb vram
directx,version 11,directx,version 11
,,,
windows_min_Love love demon ji-,windows_min_Love love demon ji-
операционная система,"windows 10, 8, 7, vista"
процессор,dual core 3ghz+
оперативная память,400 mb
видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0"
диск,400 mb
,
windows_min_Just Cause™ 4: The Dragon,windows_min_Just Cause™ 4: The Dragon,windows_req_Just Cause™ 4: The Dragon,windows_req_Just Cause™ 4: The Dragon
операционная система,windows 7 sp1 with platform update for windows 7 ( versions only),операционная система,windows 10 ( versions only)
процессор,intel core i5-2400 @ 3.1 ghz |; amd fx-6300 @ 3.5 ghz,процессор,intel core i7-4770 @ 3.4 ghz |; amd ryzen 5 1600 @ 3.2 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 (2gb vram ) |; amd r9 270 (2gb vram ),видео карта,nvidia geforce gtx 1070 (6gb vram ) |; amd vega 56 (6gb vram )
directx,version 11,directx,version 11
,,,
windows_min_TEKKEN 7 - DLC7: Armor King,windows_min_TEKKEN 7 - DLC7: Armor King,windows_req_TEKKEN 7 - DLC7: Armor King,windows_req_TEKKEN 7 - DLC7: Armor King
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690 3.5 ghz intel core i5-4690 3.5 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 660 2gb, gtx 750ti 2gb,",видео карта,intel core i5-4690 3.5 ghz intel core i5-4690 3.5 ghz
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
