windows_min_Sector's Edge,windows_min_Sector's Edge,windows_req_Sector's Edge,windows_req_Sector's Edge
процессор,intel core i5-2500k cpu,процессор,intel core i7 4790k cpu
оперативная память,6 gb,оперативная память,12 gb
видео карта,geforce gtx 770 or amd radeon r9 290,видео карта,geforce gtx 1070 or amd radeon r9 590
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Pupperazzi,windows_min_Pupperazzi,windows_req_Pupperazzi,windows_req_Pupperazzi
операционная система,and operating system. latest osx required.,операционная система,and operating system. latest osx required.
процессор,x64 dual core 2.0 ghz,процессор,x64 quad core 2.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,integrated graphics,видео карта,dedicated graphics with 4gb
directx,version 10,directx,version 10
,,,
windows_min_Distortions,windows_min_Distortions,windows_req_Distortions,windows_req_Distortions
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3,процессор,i7-7700hq 2.8ghz
оперативная память,1 gb,оперативная память,3 gb
видео карта,nvidia - geforce gtx - 650,видео карта,nvidia - geforce gtx - 1060
directx,version 9.0,directx,version 9.0
,,,
windows_min_Red Dead Pixel Man,windows_min_Red Dead Pixel Man,windows_req_Red Dead Pixel Man,windows_req_Red Dead Pixel Man
операционная система,windows 7>,операционная система,windows 10
процессор,intel pentium dual-core g4400,процессор,intel core i7 8700k
оперативная память,1 gb,оперативная память,2 gb
видео карта,geforce mx150,видео карта,nvidia geforce gtx 1050 ti
directx,version 9.0,directx,version 11
,,,
"windows_min_STAY COOL, KOBAYASHI-SAN!: A RIVER CITY RANSOM STORY","windows_min_STAY COOL, KOBAYASHI-SAN!: A RIVER CITY RANSOM STORY"
операционная система,windows 7 professional
процессор,"intel(r) core(tm) i5-4570s cpu @ 2.90ghz (4 cpus), ~2.9ghz"
оперативная память,8 gb
видео карта,nvidia geforce gtx 750 ti
directx,version 11
,
