windows_min_Labyrinthine,windows_min_Labyrinthine,windows_req_Labyrinthine,windows_req_Labyrinthine
windows_min_Second Extinction™,windows_min_Second Extinction™,windows_req_Second Extinction™,windows_req_Second Extinction™
операционная система,windows 10 ( versions),операционная система,windows 10 ( versions)
процессор,intel core i5-3570 or amd ryzen 3 1300x (quad-core is minimum),процессор,intel core i7-4770 or amd ryzen 5 1600x
оперативная память,12 gb,оперативная память,16 gb
видео карта,nvidia gtx 780 3gb or amd r9 280 3gb,видео карта,nvidia gtx 1070 8 gb or amd vega 56 8gb
,,,
windows_min_Halo: Spartan Assault,windows_min_Halo: Spartan Assault,windows_req_Halo: Spartan Assault,windows_req_Halo: Spartan Assault
операционная система,"windows vista, 7, 8 and 8.1",операционная система,"windows vista, 7, 8 and 8.1"
процессор,dual core,процессор,quad core
оперативная память,1 gb,оперативная память,2 gb
видео карта,"directx10 compatible graphics card w/ dedicated 512mb (ati radeon 3670, nvidia 8600 gt or intel hd 3000)",видео карта,directx10 compatible graphics card w/ dedicated 1gb
directx,version 10,directx,version 11
диск,2550 mb,диск,2550 mb
,,,
windows_min_Rake,windows_min_Rake,windows_req_Rake,windows_req_Rake
операционная система,windows vista or higher,операционная система,windows 7 or higher
процессор,2.1ghz intel dual-core and above,процессор,3.2ghz quad-core
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd5000 with minimum 512mb vram and pixel shader 3.0 support,видео карта,nvidia gtx600 or ati hd7000 series with 2gb vram
directx,version 9.0c,directx,version 11
,,,
windows_min_Airships: Conquer the Skies,windows_min_Airships: Conquer the Skies,windows_req_Airships: Conquer the Skies,windows_req_Airships: Conquer the Skies,macos_min_Airships: Conquer the Skies,macos_min_Airships: Conquer the Skies,macos_req_Airships: Conquer the Skies,macos_req_Airships: Conquer the Skies,linux_min_Airships: Conquer the Skies,linux_min_Airships: Conquer the Skies,linux_req_Airships: Conquer the Skies,linux_req_Airships: Conquer the Skies
операционная система,windows 7,операционная система,windows 7,операционная система,10.7,операционная система,10.10,операционная система,ubuntu/debian/mint,операционная система,ubuntu/debian/mint
процессор,1.8 ghz+,процессор,2.2 ghz+ dual-core,процессор,1.8 ghz+,процессор,2.2 ghz+ dual-core,процессор,1.8 ghz+,процессор,2.2ghz+ dual-core
оперативная память,256 mb,оперативная память,2 gb,оперативная память,256 mb,оперативная память,2 gb,оперативная память,256 mb,оперативная память,2 gb
видео карта,128 mb vram+,видео карта,1 gb vram+,видео карта,1 gb vram+,видео карта,2 gb vram+,видео карта,1 gb vram+,видео карта,2 gb vram+
диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
дополнительно,not currently compatible with intel hd graphics controllers,дополнительно,not currently compatible with intel hd graphics controllers,дополнительно,not currently compatible with intel hd graphics controllers,дополнительно,not currently compatible with intel hd graphics controllers,дополнительно,"not currently compatible with intel hd graphics controllers. may run on other linux distros, but no guarantees.",дополнительно,"not currently compatible with intel hd graphics controllers. may run on other linux distros, but no guarantees."
,,,,,,,,,,,
windows_min_Fate/EXTELLA,windows_min_Fate/EXTELLA,windows_req_Fate/EXTELLA,windows_req_Fate/EXTELLA
операционная система,windows 7+,операционная система,windows 7+
процессор,intel core i5-3570,процессор,intel core i5-6400 @ 3.2 ghz / amd a8-6500 @ 3.50 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 550 ti,видео карта,nvidia geforce gtx 950 / amd radeon r7 360
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Medal of Honor: Airborne,windows_min_Medal of Honor: Airborne
операционная система,windows xp or vista (32-bit) ( versions of windows not supported)
процессор,intel 2.8 ghz or faster (3.0 ghz or faster for vista) or amd athlon 2800+ for windows xp / amd athlon 3800+ for windows vista
оперативная память,1 gb or more
видео карта,"video card with 128 mb or more memory, pixel shader 3.0 support, and one of these chipsets is required: ati radeon x1300 pro, nvidia geforce 6600 gt . note: nvidia 6800xt/le, 7100gs, 7200gs/le, 7300 gs/gt ...  are not supported. nvidia sli and ati crossfire modes are not supported.  еще"
directx,directx 9.0c compatible
диск,9.0 gb or more free space
звуковая карта,directx 9.0c compatible (for creative sound blaster audigy cards running under windows vista you should expect lower performance)
,
windows_min_Sunset Overdrive,windows_min_Sunset Overdrive,windows_req_Sunset Overdrive,windows_req_Sunset Overdrive
операционная система,windows 8 or higher,операционная система,windows 10
процессор,intel core i5 3470 @ 3.0hz |;| amd-fx-6300,процессор,intel core i5 4690 @ 3.5hz |;| amd-fx-8350
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce 750 ti |;| amd radeon r7 260x,видео карта,geforce 970 or geforce gtx 1060 |;| amd radeon r9 290x or radeon rx 480
,,,
windows_min_Dead Bits,windows_min_Dead Bits
операционная система,10.9 or compatible
процессор,2.5 ghz intel core i5
оперативная память,2 gb
видео карта,intel hd graphics 4000 1024 mb
,
windows_min_art of rally,windows_min_art of rally,windows_req_art of rally,windows_req_art of rally,macos_min_art of rally,macos_min_art of rally,macos_req_art of rally,macos_req_art of rally,linux_min_art of rally,linux_min_art of rally,linux_req_art of rally,linux_req_art of rally
операционная система,windows 8 / 10 / 11,операционная система,windows 8 / 10 / 11,операционная система,mac os 10.13,операционная система,mac os 10.13,операционная система,ubuntu 16 (64bit),операционная система,ubuntu 16 (64bit)
процессор,intel core i3 2.9 ghz or amd equivalent,процессор,intel core i5 3.6 ghz or amd equivalent,процессор,intel core i3 2.9 ghz or amd equivalent,процессор,intel core i5 3.6 ghz or amd equivalent,процессор,intel core i3,процессор,intel core i5 3.6 ghz or amd equivalent
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
