windows_min_Trine 3: The Artifacts of Power,windows_min_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power
операционная система,windows 10,операционная система,windows 10,операционная система,os x 15.15,операционная система,os x 15.15,операционная система,ubuntu / steamos,операционная система,ubuntu / steamos
процессор,intel core i3-4130,процессор,intel core i5-4690,процессор,intel core i5,процессор,intel core i5,процессор,intel core i3-4130,процессор,intel core i5-4690
оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb
,,,,,,,,,,,
windows_min_Descenders,windows_min_Descenders,windows_req_Descenders,windows_req_Descenders,macos_min_Descenders,macos_min_Descenders,macos_req_Descenders,macos_req_Descenders,linux_min_Descenders,linux_min_Descenders,linux_req_Descenders,linux_req_Descenders
операционная система,"windows 7, 8",операционная система,windows 10,операционная система,os x 10.6 or higher,операционная система,os x 10.6 or higher,операционная система,ubuntu 12.04 32-bit,операционная система,ubuntu 12.04 32-bit
процессор,intel core i5,процессор,high-range intel core i5,процессор,intel core i5,процессор,high-range intel core i5,процессор,intel core i5,процессор,high-range intel core i5
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 550 / equivalent or higher*,видео карта,nvidia geforce gtx 760 / equivalent or higher,видео карта,nvidia geforce gtx 650 / equivalent or higher*,видео карта,nvidia geforce gtx 760 / equivalent or higher,видео карта,nvidia geforce gtx 650 / equivalent or higher*,видео карта,nvidia geforce gtx 760 / equivalent or higher
directx,version 11,directx,version 11,диск,9 gb,диск,9 gb,диск,9 gb,диск,9 gb
диск,9 gb,диск,9 gb,дополнительно,*incompatible with some lower end intel hd laptop gpus (620/520/4000/etc.),дополнительно,—,дополнительно,*incompatible with some lower end intel hd laptop gpus (620/520/4000/etc.),дополнительно,—
,,,,,,,,,,,
windows_min_Gothic 1,windows_min_Gothic 1
операционная система,windows xp/2000/me/98/vista
процессор,intel pentium iii 700 mhz
оперативная память,256 mb or higher
видео карта,3d graphics card with 32 mb
directx,8.1
диск,4 gb
,
windows_min_Little Witch Nobeta,windows_min_Little Witch Nobeta
операционная система,windows 7+
процессор,intel core™ i3
оперативная память,4 gb
видео карта,nvidia geforce gtx 750 ti / ati radeon hd 7950
directx,version 11
,
windows_min_Party Hard,windows_min_Party Hard
операционная система,ubuntu 14.04 lts
процессор,pentium 4
оперативная память,1024 mb
видео карта,geforce 9400
диск,1 gb
,
windows_min_One Piece Pirate Warriors 3,windows_min_One Piece Pirate Warriors 3,windows_req_One Piece Pirate Warriors 3,windows_req_One Piece Pirate Warriors 3
операционная система,windows 7 / 8 / 8.1,операционная система,windows 7 / 8 / 8.1
процессор,core2duo 2.4ghz,процессор,core i7 2600 3.4ghz minimum
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb nvidia geforce 8800 / ati radeon hd 3870,видео карта,1.3 gb nvidia geforce gtx570 / 2.0 gb amd radeon hd 6950
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,13 gb,диск,13 gb
звуковая карта,directx 9.0c or higher,звуковая карта,directx 9.0c or higher
,,,
windows_min_Arizona Sunshine®,windows_min_Arizona Sunshine®,windows_req_Arizona Sunshine®,windows_req_Arizona Sunshine®
операционная система,windows 7 -,операционная система,windows 10
процессор,intel i5-4590,процессор,intel core i7 6700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 / amd,видео карта,nvidia gtx 980 / amd
directx,version 11,directx,version 12
диск,12 gb,диск,12 gb
,,,
windows_min_Door Kickers 2: Task Force North,windows_min_Door Kickers 2: Task Force North,windows_req_Door Kickers 2: Task Force North,windows_req_Door Kickers 2: Task Force North
операционная система,windows 10,операционная система,windows 10
процессор,dual-core potato,процессор,i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,opengl 3.1 / directx 10 compatible video card. integrated intelhd 630 .,видео карта,any dedicated video card newer than 2016
диск,1 gb,диск,1 gb
,,,
windows_min_Gloria Victis: Medieval MMORPG,windows_min_Gloria Victis: Medieval MMORPG,windows_req_Gloria Victis: Medieval MMORPG,windows_req_Gloria Victis: Medieval MMORPG
операционная система,windows 7 sp.,операционная система,windows 7
процессор,"intel core i3 or amd athlon ii x4 with at least 2,7 ghz",процессор,intel core i5 or amd phenom ii x4 with at least 3.2 ghz
оперативная память,8 gb,оперативная память,12 gb
видео карта,"geforce gt 740, radeon hd 7750 - at least 2gb gpu memory",видео карта,"geforce gtx 960, radeon hd 7970 - at least 4gb gpu memory"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
,,,
windows_min_Fable - The Lost Chapters,windows_min_Fable - The Lost Chapters
операционная система,windows xp
процессор,1.4 ghz
оперативная память,256mb
диск,3gb of available hard disk space
видео карта,64 mb shader-capable video card
,
windows_min_Resident Evil Revelations,windows_min_Resident Evil Revelations,windows_req_Resident Evil Revelations,windows_req_Resident Evil Revelations
операционная система,windows xp,операционная система,windows vista
процессор,"intel core™ 2 duo 2.4ghz, amd athlon™ x2 2.8 ghz",процессор,"intel core™ 2 quad 2.7 ghz, amd phenom™ ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 8800gts, ati radeon™ hd3850",видео карта,"nvidia geforce gtx 560, ati radeon™ hd6950"
directx,9.0c,directx,9.0c
диск,8 gb hd space,диск,8 gb hd space
звуковая карта,directsound supported with directx9.0c,звуковая карта,directsound supported with directx9.0c
,,,
windows_min_Aliens: Colonial Marines Collection,windows_min_Aliens: Colonial Marines Collection,windows_req_Aliens: Colonial Marines Collection,windows_req_Aliens: Colonial Marines Collection
операционная система,operating system: windows xp sp3,операционная система,operating system: windows xp sp3/vista/windows 7
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core
оперативная память,"2gb (xp), 2gb (vista)",оперативная память,2gb
видео карта,nvidia geforce 8500 / ati radeon hd 2600 (256 minimum),видео карта,nvidia geforce gtx560 / ati radeon hd 5850 (512 minimum)
directx,9.0c,directx,9.0c
диск,20gb free hard disk space,диск,20gb free hard disk space
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution
операционная система,windows xp or higher with latest service pack,операционная система,windows 7 or higher with latest service pack
процессор,2.3 ghz dual core or amd,процессор,"intel i3-530, 2.93ghz / amd phenom ii x4 940, 3.0ghz"
оперативная память,1 gb,оперативная память,4 gb
видео карта,512 mb video cards pixel shader 4.0 (geforce 8xxx-ati hd2xxx),видео карта,"1024 mb video card, pixel shader 4.0, directx10 gpu"
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_DYNASTY WARRIORS 9,windows_min_DYNASTY WARRIORS 9,windows_req_DYNASTY WARRIORS 9,windows_req_DYNASTY WARRIORS 9
операционная система,windows 7/8.1/10 64bit,операционная система,windows 7/8.1/10 64bit
