операционная система,ubuntu 14.04 64bit or higher,операционная система,ubuntu 14.04 64bit or higher
процессор,2.8 ghz,процессор,3.2 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia gallium 0.4 nv 106, opengl compatible",видео карта,"geforce gt 710, opengl compatible"
диск,1100 mb,диск,1100 mb
,,,
windows_min_Sniper: Ghost Warrior - Second Strike,windows_min_Sniper: Ghost Warrior - Second Strike
операционная система,windows xp/vista/7
процессор,"intel pentium 4 3,2 ghz, intel pentium d 2.66 ghz, amd athlon 64 3500+"
оперативная память,"1 gb(xp), 2 gb (vista/7)"
видео карта,"geforce (6800 / 7600-7950/8600-8800/9600-9800/gtx 260-280), radeon (x1650-1950/hd 2400-2900/3650-3870/4650-4870)"
directx,directx: 9.0c
диск,6.5 gb space free
,
windows_min_Gas Guzzlers Extreme: Full Metal Zombie,windows_min_Gas Guzzlers Extreme: Full Metal Zombie,windows_req_Gas Guzzlers Extreme: Full Metal Zombie,windows_req_Gas Guzzlers Extreme: Full Metal Zombie
операционная система,vista(tm)/windows 7/windows 8,операционная система,vista(tm)/windows 7/windows 8
процессор,dual-core 2.6 ghz,процессор,quad-core q6600 2.4 ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,directx(r) 9 compatible graphics card with sm 3.0. (geforce(r) 280 or 4870 amd/ati) with 512 mb,видео карта,"directx(r) 9 compatible graphics card (radeon(r) 6850, geforce(r) 560) with 1 gb"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_Assassin's Creed® Syndicate - Streets of London Pack,windows_min_Assassin's Creed® Syndicate - Streets of London Pack,windows_req_Assassin's Creed® Syndicate - Streets of London Pack,windows_req_Assassin's Creed® Syndicate - Streets of London Pack
операционная система,windows 7 sp1 or windows 8.1 or windows 10 (64bit versions),операционная система,windows 7 sp1 or windows 8.1 or windows 10 (64bit versions)
процессор,intel core i5 2400s @ 2.5 ghz / amd fx 6350 @ 3.9 ghz,процессор,intel core i7 3770 @ 3.5 ghz / amd fx 8350 @ 4.0 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 / amd radeon r9 270 (2gb vram with shader model 5.0),видео карта,nvidia geforce gtx 760 (4gb) or the newer gtx 970 (4gb) / amd radeon r9 280x (3gb of vram)
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_Black Squad - EA FREE TIMED WEAPON PACKAGE 2,windows_min_Black Squad - EA FREE TIMED WEAPON PACKAGE 2,windows_req_Black Squad - EA FREE TIMED WEAPON PACKAGE 2,windows_req_Black Squad - EA FREE TIMED WEAPON PACKAGE 2
операционная система,windows 7 64bit,операционная система,windows 7 64bit
процессор,core2 duo 2.2ghz / amd athlon 64 x2 2.66ghz,процессор,core i3-4170 or amd fx-8300
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce 8600 or gt630 / radeon hd 6750,видео карта,nvidia gtx 760 or amd radeon hd 7950
directx,version 9.0,directx,version 9.0
,,,
windows_min_Color Symphony,windows_min_Color Symphony
операционная система,windows xp
процессор,2.0 ghz or higher
оперативная память,512 mb
видео карта,directx 9.0c compatible video card with shader model 1.1 support
directx,version 9.0c
диск,180 mb
звуковая карта,directx compatible sound card
,
windows_min_Paint Warfare,windows_min_Paint Warfare,windows_req_Paint Warfare,windows_req_Paint Warfare,macos_min_Paint Warfare,macos_min_Paint Warfare,macos_req_Paint Warfare,macos_req_Paint Warfare,linux_min_Paint Warfare,linux_min_Paint Warfare,linux_req_Paint Warfare,linux_req_Paint Warfare
операционная система,windows 7,операционная система,windows 7,операционная система,mac os x 10.8,операционная система,latest os x,операционная система,"ubuntu 12.04, steamos",операционная система,"latest ubuntu, steamos"
процессор,", 2 ghz or faster",процессор,", 3 ghz or faster",процессор,", 2 ghz or faster",процессор,", 3 ghz or faster",процессор,", 2 ghz or faster",процессор,", 3 ghz or faster"
оперативная память,2 gb,оперативная память,8 gb,оперативная память,2 gb,оперативная память,8 gb,оперативная память,2 gb,оперативная память,8 gb
видео карта,intel hd 3000,видео карта,geforce gtx 750,видео карта,intel hd 3000,видео карта,geforce gtx 750,видео карта,intel hd 3000,видео карта,geforce gtx 750
